,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2101,2022,SE,FT,Data Scientist,130000,USD,130000,US,0,US,M
2586,2022,SE,FT,Data Scientist,185900,USD,185900,US,0,US,M
3096,2022,MI,FT,Data Engineer,50000,GBP,61566,GB,0,GB,M
1677,2023,SE,FT,Data Scientist,297300,USD,297300,US,100,US,M
3661,2021,SE,FT,Data Analytics Engineer,50000,USD,50000,VN,100,GB,M
2508,2022,SE,FT,Data Operations Analyst,123000,USD,123000,US,0,US,M
846,2023,MI,FT,Research Scientist,150000,USD,150000,US,100,US,M
796,2023,MI,FT,Data Analytics Manager,140000,USD,140000,US,0,US,M
3138,2020,EN,FT,Data Analyst,20000,EUR,22809,PT,100,PT,M
102,2023,SE,FT,Data Analyst,65000,USD,65000,US,0,US,M
2596,2022,MI,FT,Data Engineer,90000,GBP,110820,GB,0,GB,M
2837,2022,EN,FT,Data Scientist,73000,USD,73000,US,0,US,M
3472,2022,MI,FT,Data Scientist,48000,USD,48000,RU,100,US,S
1419,2023,SE,FT,Machine Learning Engineer,220000,USD,220000,US,0,US,M
588,2023,SE,FT,Data Engineer,111000,USD,111000,US,0,US,M
3444,2022,MI,FT,Head of Data,30000,EUR,31520,EE,100,EE,S
1216,2023,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
94,2023,SE,FT,Data Scientist,70000,USD,70000,US,0,US,M
98,2023,SE,FT,Data Engineer,185000,USD,185000,US,100,US,M
1875,2022,SE,FT,Data Engineer,144000,USD,144000,US,100,US,M
2875,2022,SE,FT,Analytics Engineer,165000,USD,165000,US,100,US,M
3583,2020,SE,FT,Data Engineer,188000,USD,188000,US,100,US,L
2681,2022,SE,FT,Data Scientist,198440,USD,198440,US,0,US,L
1928,2022,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M
1967,2022,EN,FT,Data Analyst,48000,USD,48000,US,0,US,M
2474,2022,SE,FT,Machine Learning Engineer,116100,USD,116100,CA,100,CA,M
1380,2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M
2414,2022,MI,FT,Data Analyst,160000,USD,160000,US,0,US,M
2308,2022,MI,FT,Data Engineer,80000,USD,80000,US,0,US,M
2752,2022,SE,FT,Data Scientist,191475,USD,191475,US,100,US,M
902,2023,SE,FT,Data Scientist,201000,USD,201000,US,0,US,M
1688,2023,MI,FT,Data Analyst,150000,USD,150000,US,0,US,M
3674,2020,MI,FT,Data Analyst,85000,USD,85000,US,100,US,L
1772,2023,SE,FT,Data Analyst,155000,USD,155000,US,100,US,M
546,2023,SE,FT,Analytics Engineer,143860,USD,143860,US,0,US,M
3751,2021,MI,FT,Principal Data Scientist,151000,USD,151000,US,100,US,L
1595,2023,MI,FT,Data Scientist,840000,THB,24740,TH,50,TH,L
1045,2023,SE,FT,Data Analyst,86466,USD,86466,US,100,US,M
3145,2022,MI,FT,Data Engineer,55000,GBP,67723,GB,100,GB,M
797,2023,EX,FT,Data Engineer,167500,USD,167500,US,0,US,M
1412,2023,EN,FT,Big Data Engineer,130000,USD,130000,SE,100,SE,S
19,2023,MI,FT,Data Analyst,150000,USD,150000,US,100,US,M
2813,2022,SE,FT,Analytics Engineer,140000,USD,140000,US,100,US,M
1808,2023,SE,FT,Data Engineer,236000,USD,236000,US,100,US,M
1885,2022,SE,FT,Machine Learning Engineer,201000,USD,201000,US,100,US,M
1848,2022,MI,FT,Data Engineer,175000,USD,175000,US,0,US,M
2908,2022,SE,FT,Data Analyst,115000,USD,115000,US,0,US,L
574,2023,EN,FT,Applied Machine Learning Scientist,40000,EUR,42923,DE,50,DE,M
2022,2022,SE,FT,3D Computer Vision Researcher,10000,USD,10000,CA,50,AL,S
3267,2022,SE,FT,Data Scientist,99360,USD,99360,US,100,US,M
2430,2022,SE,FT,Data Engineer,247500,USD,247500,US,0,US,M
3641,2021,SE,FT,Data Analyst,54000,EUR,63831,DE,50,DE,L
1744,2023,EN,FT,Data Engineer,160000,USD,160000,US,0,US,M
2011,2022,MI,FT,Data Analyst,350000,GBP,430967,GB,0,GB,M
2410,2022,MI,FT,Data Analyst,206000,USD,206000,US,0,US,M
1273,2023,SE,FT,Data Engineer,160000,USD,160000,US,100,US,M
3042,2022,MI,FT,Data Engineer,24000,USD,24000,US,0,US,M
2017,2022,EN,FT,BI Data Analyst,58000,EUR,60938,DE,0,DE,L
79,2023,SE,FT,Data Engineer,139000,USD,139000,US,100,US,M
3611,2021,MI,FT,Data Architect,180000,USD,180000,US,100,US,L
